# Destrova ITSM — Eksiklik Listesi

## KRİTİK — jBPM Entegrasyonu

| ID | Eksiklik | Öncelik | Açıklama |
| F-02 | Sekme çerçeveleri kötü | 🟡 Yüksek | Active/Past requests sekmelerinde ring ve gölge var, siyah çerçeve gibi duruyor |
| F-03 | Sayfalama numaraları okunmuyor | 🟡 Yüksek | Lacivert arka planda siyah yazı, görünmüyor |

## Frontend — Manager Ekranı

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| F-04 | Attachment yükleme çalışmıyor | 🔴 Kritik | Manager dosya yükleyemiyor, agent yükleyebiliyor |
| F-05 | Assignee kısmı mock | 🔴 Kritik | Ticket detail'de assignee dropdown'ı API'ye bağlı değil |
| F-06 | Conversation timeline karışık | 🟡 Yüksek | Kimin ne yazdığı, sistem mesajları, internal/external ayrımı belli değil |
| F-07 | Composer sayfanın altına kaçıyor | 🟡 Yüksek | Mesaj yazma alanı en altta, scroll gerekiyor |
| F-08 | Attachments görünmüyor | 🟡 Yüksek | Dosyalar listelenmiyor, indirilemiyor |
| F-09 | Conversation'da dosyalar görünmüyor | 🟡 Yüksek | Timeline'da ek dosyaları gösterilmiyor |
| F-10 | Recent activity çerçeveleri | 🟢 Orta | Gereksiz çerçeve ve gölgeler var |
| F-11 | Team load çerçeveleri | 🟢 Orta | Gereksiz çerçeve ve gölgeler var |
| F-12 | Sidebar hamburger butonu eksik | 🟢 Orta | Customer ekranındaki gibi 3 çizgi butonu yok |
| F-13 | Topbar search çalışmıyor | 🟢 Orta | Bazı sayfalarda arama sonuç vermiyor |
| F-14 | All Tickets search çalışmıyor | 🟢 Orta | Sayfa içi arama filtresi çalışmıyor |

## Frontend — Genel

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| F-15 | Eski frontend hâlâ duruyor | 🟡 Yüksek | `pages/` altında eski customer sayfaları var, yeni sistem `destrova/` altında |
| F-16 | Responsive tasarım yok | 🟡 Yüksek | Mobil ve tablette ekranlar bozuluyor |
| F-17 | Renk tutarsızlığı | 🟡 Yüksek | Farklı sayfalarda farklı renk paletleri kullanılmış |
| F-18 | Enterprise görünüm eksik | 🟡 Yüksek | Düz beyaz sayfaya yazı yazılmış hissi var |

## Altyapı ve Güvenlik

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| A-01 | 2FA yok | 🔴 Kritik | Raporda "Agent ve Manager için OTP desteği" yazıyor ama uygulanmamış |
| A-02 | HTTPS yok | 🟡 Yüksek | Rapor "Tüm dış iletişim HTTPS ile şifrelenir" diyor |
| A-03 | CORS yapılandırması kontrol edilmeli | 🟡 Yüksek | "Sadece frontend domain'inden gelen isteklere izin" yazıyor |
| A-04 | OIDC + PKCE kontrolü | 🟢 Orta | "Keycloak ile OIDC Authorization Code Flow + PKCE" doğrulaması |
| A-05 | Nginx frontend sunumu | 🟢 Orta | Rapor "production'da Nginx ile sunulur" diyor |
| A-06 | JDK 17 doğrulaması | 🟢 Orta | `pom.xml`'de `java.version: 17` yazıyor |

## Raporlama ve Dashboard

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| R-01 | Agent bazlı performans yok | 🟡 Yüksek | Çözülen ticket sayıları, ortalama çözüm süreleri, SLA uyum oranları eksik |
| R-02 | Kapatma nedenleri dağılımı yok | 🟡 Yüksek | Dashboard'da closure reason dağılım grafiği yok |
| R-03 | SLA ihlal işareti dashboard'da yok | 🟡 Yüksek | Manager dashboard'ında ihlal işaretiyle görünmüyor |
| R-04 | WeeklyFlow prev/lastWeek mock | 🟢 Orta | Dashboard'da önceki dönem karşılaştırması çalışmıyor |
| R-05 | Export CSV farklılaştırma | 🟢 Orta | Reports export'ta hep aynı içerik geliyor |

## Test ve Performans

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| T-01 | Birim testleri yok | 🟡 Yüksek | Backend'de anlamlı test seti yok, sadece skeleton test |
| T-02 | API cevap süresi testi yok | 🟢 Orta | "2 saniyenin altında olması hedeflenmektedir" yazıyor, test edilmemiş |
| T-03 | Kapatma nedeni testi yok | 🟡 Yüksek | Kapatma nedeni seçilmesi zorunlu olmalı testi eksik |
| T-04 | Dosya limit testi yok | 🟡 Yüksek | 5 dosya/10MB sınırı test edilmemiş |
| T-05 | Internal yorum gizliliği testi yok | 🟡 Yüksek | Internal yorumlar müşteriden gizlenir testi eksik |

## Ekip ve Ürün Yönetimi

| ID | Eksiklik | Öncelik | Açıklama |
|----|----------|---------|----------|
| E-01 | Ekip yapısı yok | 🟡 Yüksek | Agent'lar ürün bazlı gruplanamıyor |
| E-02 | Ürün bazlı atama yok | 🟡 Yüksek | Ticket atanırken ürünle ilgilenen agent'a otomatik atama yok |
| E-03 | Mention sistemi kısıtlı | 🟡 Yüksek | Mention edilen agent sadece internal yazabiliyor, tam erişim yok |
| E-04 | Admin panelinde kullanıcı ekleme yok | 🔴 Kritik | Toplantıda "kullanıcı yönetimi admin panelinde olmalı" dendi |
